lingwa de planeta,inglish,ruski,worda tip,surse
kwo-worda ," (grammar term) word that functions as a subject or object, noun (e.g. jen, jamilitaa, duma)","(грамм. термин) слово, функционирующее в предложении как субъект или объект; существительное (jen, jamilitaa, duma)",,
kwo-yuan , (grammar term) object (part of a clause),"(грамм. термин) член предложения, обозначающий объект; дополнение",,
kwota , (kwo) quota,квота,kwo,
kyar , (kwo) bed (a small plot of cultivated or planted land),грядка; клумба (тж. florkyar),kwo,
kyete , (kwel) quiet; still (cf. “kalme”),"тихий (тж. в смысле спокойный, смиренный); kyetitaa тишь, тишина; спокойствие",kwel,
Kyete Osean , (kwo) the Pacific,Тихий Океан; kyetosean-ney тихоокеанский,kwo,
kyetem , (komo) quietly,,komo,
kyetitaa , (kwo) quiet; still,,kwo,
kyetosean-ney , (kwel) Pacific,,kwel,
la,2) (kwo) A (mus.),"1) Постчастица (во множественном числе ""las""), пишется через дефис, может использоваться с прилагательными и причастиями как их субстантиватор, а также как слово-заменитель во избежание повторения одного и того же существительного: Hir es mucho rosa, ob yu preferi blan-las o hwan-las? — Hwan-las. Здесь много роз, ты предпочитаешь белые или жёлтые? — Жёлтые. Sey-la, toy-la — этот (предмет), тот (предмет) — указывают на уже названные предметы: Walaa dwa kitaba. Sey-la es hao e toy-la es buhao. – Вот 2 книги. Эта хорошая, а та плохая. 2) Ля (муз. нота)",,
la ," 1) (gramatika) substantivator, substitute word, singular","1) Постчастица (во множественном числе ""las""), пишется через дефис, может использоваться с прилагательными и причастиями как их субстантиватор, а также как слово-заменитель во избежание повторения одного и того же существительного: Hir es mucho rosa, ob yu preferi blan-las o hwan-las? — Hwan-las. Здесь много роз, ты предпочитаешь белые или жёлтые? — Жёлтые. Sey-la, toy-la — этот (предмет), тот (предмет) — указывают на уже названные предметы: Walaa dwa kitaba. Sey-la es hao e toy-la es buhao. – Вот 2 книги. Эта хорошая, а та плохая. 2) Ля (муз. нота)",gramatika,
laba , (kwo) lip,губа,kwo,Persian
label , (kwo) label,"ярлык, этикетка; labeli снабжать этикеткой/надписью; botela labelen ""toxin"" бутылка с надписью ""яд""",kwo,
labeli , (zwo) label,,zwo,
labirinta , (kwo) labyrinth,лабиринт; перен. дебри,kwo,
laboratoria , (kwo) laboratory (the shortening “lab” is possible),лаборатория,kwo,
lada ," (kwo) OK-condition, harmony","лад, согласие, порядок, состояние ""OK""; ladi уладить, наладить; разрешить, привести в порядок, в согласие, в ""ОК""; ладиться, спориться; ladi kun koywan ладить с кем-л.; deladi разладить, расстроить; riladi вновь наладить, восстановить, вернуть в норму",kwo,
ladi ," (zwo) go right, go well; put right, put in order, fix up, settle, make smth OK",,zwo,
ladi dela , to settle an affair,,,
ladi kun koywan ," get on with smb, be on good terms with smb",,,
Ladoga , (kwo) Lake Ladoga,"Ладога, Ладожское озеро",kwo,
lagan ," (kwo) zeal; diligence, assiduity, painstakingness","усердие, прилежание, старание; lagan-ney прилежный, усердный; lagan-nem прилежно, усердно",kwo,
lagan-ney ," (kwel) zealous; diligent, assiduous",,kwel,Hindi
lagi , (zwo) lie (be in horizontal position; be situated),1) лежать; 2) быть расположенным: Peterburg lagi pa Neva Петербург лежит на Неве; lagilok логовище; берлога,zwo,
lagilok ," (kwo) den, lair",,kwo,
laguna , (kwo) lagoon,лагуна,kwo,
lai , (zwo) come,"приходить: Wen yu lai? Когда ты придёшь? Kan hu zai lai! Смотри, кто идёт! Ta lai-te snova Он(а) пришла опять; laisa приход, прибытие. Lai-she грядущий, следующий, ближайший: lai-she generasion будущее поколение; lai-she yar следующий год; pa lai-ves в следующий раз. ek-lai нагрянуть, внезапно прийти",zwo,
lai a dom , come home,,exampla-ney frasa,
Lai ahir. , Come here. (Origin: a+hir) Syn.: hir,,,Lidepla
Lai aus! , Come out!,,exampla-ney frasa,
Lai ba koytaim manya. , Come tomorrow some time.,,,
"Lai ba vaika sedey, vaika manya. "," You can come today or tomorrow, whichever suits you.",,,Finnish
lai bay avion , come by airplane,,,
Lai hir. , Come here.,,,
Lai nich. Me es nichen. , Come down. I am down.,,,
Lai pyu blisem! Hir oni bu mog audi nul worda. , Come closer! Here one can’t hear a word.,,,
Lai uupar! Me es uuparen. , Come up here! I am above.,,,
lai-sha , (kwo) comer,,kwo,
lai-she , (kwel) coming; next,,kwel,
lai-she wik , next week,,,
lai-she yar , the coming year,,,
laik , (gramatika) marker of improvised image-bearing words including onomatopoeic,"маркер произвольных образных слов, в частности ономатопоэтических. Serpenta kripi laik shuh-sha-shuh. Шур-шур-шур - ползёт змея. ",gramatika,
laisa , (kwo) coming,,kwo,
laives , (komo) next time,,komo,
lak , (kwo) lake,озеро,kwo,
Lak Uupare , (kwo) Lake Superior,Верхнее озеро (самое крупное из Великих озёр),kwo,
laka ," (kwo) varnish, lacquer",лак; laki лакировать; laking лакировка; lakitura лаковое покрытие,kwo,
lakey , (kwo) lackey (footman; servile follower) Syn.: subnik,"лакей; прислужник, холуй (тж.subnik)",kwo,
laki ," (zwo) varnish, lacquer",,zwo,
laking ," (kwo) varnishing, lacquering",,kwo,
lakma ," (kwo) dainty, delicacy",,kwo,Russian
lakme ," (kwel) dainty, tasty, delicious","лакомый, очень вкусный; lakme lokma лакомый кусок; lakma лакомство",kwel,
lakme lokma , tasty morsel,,,
lali , (kwo) cherish (treat with affection and tenderness),"холить, пестовать, нежно ухаживать",kwo,Hindi
lama , (kwo) 1) lama; 2) llama,лама (животное; будд.монах),kwo,
lampa , (kwo) lamp,лампа,kwo,
lampa-shirma ," (kwo) lamp shade, abat-jour",,kwo,
lan ," (kwel) lazy, idle",ленивый; lantaa лень; lannik лентяй; lanfai лениться,kwel,
landa , (kwo) land,"край, страна, земля, местность; landi приземляться; высаживаться на берег; landing приземление, посадка; musafer avion landi-te pa aksidenta пассажирский самолёт совершил аварийную посадку",kwo,
Landan , (kwo) London,Лондон,kwo,
Landan lagi pa Tems, – London lies on the Thames,,,
landi , (zwo) land,,zwo,
lanfai ," (zwo) be lazy, idle one's time away",,zwo,
langusta ," (kwo) spiny lobster, rock lobster","омар, лангуст",kwo,
lannik ," (kwo) lazy fellow, idler, sluggard, loafer",,kwo,Mandarin
lansa , (kwo) throw; launch,,kwo,
lanset , (kwo) lancet,ланцет,kwo,
lansi ," (zwo) throw, cast; hurl; launch","бросать; метать; запускать; lansa бросок; запуск; oni lansi-te kosmike raketa запустили космическую ракету; fa-lansi a броситься к; lansika рогатка; праща (korda-lansika праща, Y-lansika (ye-lansika) рогатка); raslansi разбрасывать, раскидывать; fa-lansi a oli taraf метаться из стороны в сторону; lifti-lansi handa uupar - взбросить вверх руку; lifti-lansi handa pa saluta - вскинуть руку в приветствии",zwo,
lansika ," (kwo) sling (instrument for throwing); slingshot, (boy's) catapult",,kwo,
lantaa , (kwo) laziness,,kwo,
lantan , (kwo) lanthanum (chem.),лантан (хим.),kwo,
lanza ," (kwo) spear, pike, lance","копьё, пика",kwo,
lao , (kwel) old,старый;  laotaa старость (качество); lao yash старость (возраст); laojen старик (laoman)/старуха (laogina); fa-lao стареть; mah-lao старить; laoyuan старейшина,kwel,
lao virga , spinster,,,
lao yash , (kwo) old age,,kwo,
laogina , (kwo) old woman,,kwo,
laojen , (kwo) old person,,kwo,
Laojen oftem shwo ke bifooen olo bin pyu hao kem nau. , Old people often say that formerly everything was better than now.,,exampla-ney frasa,
laoman , (kwo) old man,,kwo,
laotaa , (kwo) oldness,,kwo,
laoyuan ," (kwo) elder, senior",,kwo,
Laozi , Laozi,Лао-цзы,,
lapa ," (kwo) flap, tail, skirt",пола; подол; свисающая нижняя часть одежды,kwo,
lapu , (kwo) burdock,"репейник, лопух; lapuka репей; lapulif лопух",kwo,
lapulif , (kwo) burdock leaf,,kwo,Russian
"lapuspika, lapuka "," (kwo) bur, prickly husk of burdock",,kwo,
laringa , (kwo) larynx,гортань,kwo,
larma , (kwo) tear (drop(s) of liquid from the eyes),слеза,kwo,
las ," (gramatika) substantivator, substitute word, plural",см. la,gramatika,
laser , (kwo) laser,лазер,kwo,
lash ," (kwo) cadaver, dead body",труп,kwo,Persian
lasi , (sta) let (allow),"позволять, не препятствовать, давать; lasi go, lasi wek отпустить; lasi lwo уронить; lasi me dumi idyen - дайте мне немножко подумать; lasi koywan zin, lasi koywan inu впустить кого-л.; bye lasi me fali не подведи меня",,
"lasi koywan zin, lasi koywan inu ", let smb in,,,
"lasi los, loslasi "," let loose, let go",,,
lasi lwo ," let fall, drop",,,
lasi lwo , let fall,,,
lasi me dumi idyen , let me think a little bit,,,
"lasi me go, lasi me wek ", let me go,,,
laska , (kwo) weasel,ласка (животное),kwo,Russian
laste , (kwel) last (final or latest),последний; go pa laste идти последним,kwel,
laste daoduan , last section/length of road,,,
lata , (kwo) patch (piece of material used to mend or cover a hole),"заплата; lati латать, залатывать, штопать, чинить",kwo,
lati , (zwo) patch,,zwo,Russian
latif ," (kwel) affable, polite, courteous","вежливый, любезный, обходительный",kwel,Arabic
latina ," (kwel, kwo) Latin (language, person)","латынь; латин, говорящий на латинском языке",kwo-kwel,
